Month,County,Sales,Year,Population,Sales per capita
2014-09-01,Jefferson,1701706.0,2014,558610,3.046322120978858
2014-09-01,Larimer,1378589.0,2014,324105,4.2535258635318804
2014-09-01,Pitkin,316259.0,2014,17623,17.945809453555015
2014-09-01,Pueblo,1386314.0,2014,161618,8.577720303431548
2014-09-01,San Miguel,501532.0,2014,7751,64.7054573603406
2014-09-01,Summit,726128.0,2014,29213,24.856331085475645
2014-09-01,Weld,1201206.0,2014,275845,4.354641193423843
2014-10-01,Boulder,3477557.0,2014,313190,11.103665506561512
2014-10-01,Clear Creek,338132.0,2014,9210,36.71357220412595
2014-10-01,Denver,14895186.0,2014,662855,22.471258420016444
2014-10-01,Eagle,356123.0,2014,52761,6.74973939083793
2014-10-01,Garfield,553834.0,2014,57260,9.67226685295145
2014-10-01,Gunnison,184394.0,2014,15767,11.694932453859327
2014-10-01,Jefferson,1714442.0,2014,558610,3.0691215696102825
2014-10-01,Larimer,1523402.0,2014,324105,4.700334768053563
2014-10-01,Pitkin,246079.0,2014,17623,13.963513590194632
2014-10-01,Pueblo,1245865.0,2014,161618,7.708702001014738
2014-10-01,San Miguel,278409.0,2014,7751,35.91910721197265
2014-10-01,Summit,632225.0,2014,29213,21.64190600075309
2014-10-01,Weld,1126809.0,2014,275845,4.084935380376661
2014-11-01,Adams,1304091.0,2014,479777,2.7181190428053035
2014-11-01,Arapahoe,805369.0,2014,617936,1.3033210559022295
2014-11-01,Boulder,3196349.0,2014,313190,10.205782432389285
2014-11-01,Clear Creek,298012.0,2014,9210,32.35743756786102
2014-11-01,Denver,13742869.0,2014,662855,20.732843532899352
2014-11-01,Eagle,373883.0,2014,52761,7.086351661264949
2014-11-01,Garfield,507297.0,2014,57260,8.859535452322739
2014-11-01,Gunnison,133062.0,2014,15767,8.439271897000063
2014-11-01,Jefferson,1679786.0,2014,558610,3.0070818639122106
2014-11-01,La Plata,647493.0,2014,53978,11.995498165919448
2014-11-01,Larimer,1493948.0,2014,324105,4.6094568118356705
2014-11-01,Pitkin,216781.0,2014,17623,12.30102706690121
2014-11-01,Pueblo,1137217.0,2014,161618,7.036450147879568
2014-11-01,San Miguel,169659.0,2014,7751,21.888659527802865
2014-11-01,Summit,706675.0,2014,29213,24.190428918632115
2014-11-01,Weld,992006.0,2014,275845,3.5962442676140585
2014-12-01,Adams,1445817.0,2014,479777,3.0135187806001538
2014-12-01,Arapahoe,1416559.0,2014,617936,2.29240406773517
2014-12-01,Boulder,3592405.0,2014,313190,11.470369424311121
2014-12-01,Clear Creek,371997.0,2014,9210,40.39055374592834
2014-12-01,Denver,14797861.0,2014,662855,22.32443143673956
2014-12-01,Eagle,710631.0,2014,52761,13.468869051003582
2014-12-01,Garfield,560065.0,2014,57260,9.781086273140064
2014-12-01,Gilpin,103121.0,2014,5769,17.875021667533368
2014-12-01,Gunnison,228173.0,2014,15767,14.471554512589586
2014-12-01,Jefferson,1990092.0,2014,558610,3.562578543169653
2014-12-01,La Plata,838948.0,2014,53978,15.542406165474823
2014-12-01,Larimer,1613144.0,2014,324105,4.977226516098178
2014-12-01,Pitkin,599569.0,2014,17623,34.02195993871645
2014-12-01,Pueblo,1158670.0,2014,161618,7.169189075474266
2014-12-01,Routt,493734.0,2014,24010,20.56368179925031
2014-12-01,San Miguel,292834.0,2014,7751,37.78015739904529
2014-12-01,Summit,1256397.0,2014,29213,43.00814705781673
2015-01-01,Adams,1189877.0,2015,489923,2.4287020613443335
2015-01-01,Arapahoe,1844768.0,2015,629066,2.9325507975315785
2015-01-01,Boulder,3565252.0,2015,318570,11.191424176790031
2015-01-01,Clear Creek,455108.0,2015,9392,48.45698466780239
2015-01-01,Denver,15485689.0,2015,680658,22.7510570653691
2015-01-01,Eagle,825587.0,2015,53320,15.483627156789197
2015-01-01,Garfield,616641.0,2015,57779,10.672406929853407
2015-01-01,Gilpin,112455.0,2015,5824,19.30889423076923
2015-01-01,Gunnison,273043.0,2015,16097,16.962353233521775
2015-01-01,Jefferson,2108127.0,2015,564619,3.7337160102653293
2015-01-01,La Plata,798627.0,2015,54857,14.558342599850521
2015-01-01,Larimer,1728021.0,2015,332830,5.191902773187513
2015-01-01,Las Animas,224113.0,2015,14061,15.93862456439798
2015-01-01,Pitkin,813722.0,2015,17845,45.59943961894088
2015-01-01,Pueblo,1063092.0,2015,163196,6.5142037795044
2015-01-01,San Miguel,374588.0,2015,7843,47.760805814101744
2015-02-01,Arapahoe,2114064.0,2015,629066,3.3606394241621707
2015-02-01,Boulder,3209140.0,2015,318570,10.073578805286122
2015-02-01,Clear Creek,416086.0,2015,9392,44.30217206132879
2015-02-01,Denver,14411812.0,2015,680658,21.17335284386579
2015-02-01,Eagle,735296.0,2015,53320,13.790247561890473
2015-02-01,Garfield,535881.0,2015,57779,9.274667266653974
2015-02-01,Gilpin,104647.0,2015,5824,17.96823489010989
2015-02-01,Gunnison,224407.0,2015,16097,13.940920668447538
2015-02-01,Jefferson,1960725.0,2015,564619,3.472651469397948
2015-02-01,La Plata,840795.0,2015,54857,15.327032101646099
2015-02-01,Larimer,1685559.0,2015,332830,5.064324129435447
2015-02-01,Las Animas,287148.0,2015,14061,20.42159163644122
2015-02-01,Montezuma,159174.0,2015,26129,6.09185196524934
2015-02-01,Pitkin,705757.0,2015,17845,39.549285514149624
2015-02-01,Pueblo,1039417.0,2015,163196,6.369132821882889
2015-02-01,San Miguel,300473.0,2015,7843,38.310977942113986
2015-03-01,Adams,1497796.0,2015,489923,3.057206948847064
2015-03-01,Arapahoe,2615133.0,2015,629066,4.157167928325486
2015-03-01,Boulder,3856723.0,2015,318570,12.106359669774305
2015-03-01,Clear Creek,485304.0,2015,9392,51.67206132879046
2015-03-01,Denver,17121933.0,2015,680658,25.154972100526255
2015-03-01,Eagle,862396.0,2015,53320,16.17396849212303
2015-03-01,Garfield,642659.0,2015,57779,11.122708942695443
2015-03-01,Gilpin,117004.0,2015,5824,20.08997252747253
2015-03-01,Gunnison,296334.0,2015,16097,18.409268807852396
2015-03-01,Jefferson,2224610.0,2015,564619,3.940019730118894
2015-03-01,La Plata,1020552.0,2015,54857,18.60386094755455
2015-03-01,Larimer,1943174.0,2015,332830,5.838337890214223
2015-03-01,Las Animas,415008.0,2015,14061,29.51482824834649
2015-03-01,Montezuma,254446.0,2015,26129,9.738068812430633
2015-03-01,Park,146105.0,2015,16716,8.740428332136874
2015-03-01,Pitkin,896693.0,2015,17845,50.248977304567106
